Datum,Vykonnost_fondu
05-03-2025,61.1100
06-03-2025,60.7000
07-03-2025,61.4300
08-03-2025,61.4900
09-03-2025,61.4900
10-03-2025,59.9600
11-03-2025,59.5900
12-03-2025,59.9100
13-03-2025,59.4200
14-03-2025,60.7300
15-03-2025,60.7500
16-03-2025,60.7500
17-03-2025,61.2600
18-03-2025,61.5900
19-03-2025,61.7800
20-03-2025,61.3800
21-03-2025,60.9900
22-03-2025,60.9300
23-03-2025,60.9300
24-03-2025,61.1000
25-03-2025,61.4900
26-03-2025,61.0900
27-03-2025,60.8600
28-03-2025,60.1800
29-03-2025,60.1800
30-03-2025,60.1800
31-03-2025,59.5300
01-04-2025,59.4700
02-04-2025,59.4600
03-04-2025,58.0000
04-04-2025,54.2200
06-04-2025,53.9200
07-04-2025,53.1500
08-04-2025,52.8000
09-04-2025,55.8100
10-04-2025,54.4500
11-04-2025,55.5500
12-04-2025,55.4800
13-04-2025,55.4800
14-04-2025,56.2300
15-04-2025,57.2100
16-04-2025,56.5900
17-04-2025,57.3200
18-04-2025,57.2000
19-04-2025,57.2000
20-04-2025,57.2000
21-04-2025,57.2000
22-04-2025,57.5500
23-04-2025,58.0100
24-04-2025,58.5500
25-04-2025,58.8300
26-04-2025,58.9300
27-04-2025,58.9300
28-04-2025,59.2200
29-04-2025,59.5100
30-04-2025,60.1800
01-05-2025,60.1800
02-05-2025,61.4000
03-05-2025,61.4000
04-05-2025,61.4000
05-05-2025,61.4000
06-05-2025,61.1300
07-05-2025,61.4900
08-05-2025,61.8900
09-05-2025,62.1400
10-05-2025,62.1100
11-05-2025,62.1100
12-05-2025,63.1400
13-05-2025,63.1900
14-05-2025,63.3600
15-05-2025,63.6100
16-05-2025,63.9600
17-05-2025,63.9800
18-05-2025,63.9800
19-05-2025,64.1300
20-05-2025,64.4500
21-05-2025,63.8300
22-05-2025,63.8900
23-05-2025,63.6400
24-05-2025,63.5600
25-05-2025,63.5600
26-05-2025,64.5700
27-05-2025,64.6900
28-05-2025,64.6300
29-05-2025,64.5700
30-05-2025,64.7500
31-05-2025,64.7500
01-06-2025,64.7500
02-06-2025,64.8600
03-06-2025,64.5900
04-06-2025,64.8600
05-06-2025,64.8300
06-06-2025,65.1700
07-06-2025,65.1700
08-06-2025,65.1700
09-06-2025,65.2300
10-06-2025,65.4100
11-06-2025,65.2000
12-06-2025,65.1000
13-06-2025,64.1600
14-06-2025,64.1600
15-06-2025,64.1600
16-06-2025,64.4700
17-06-2025,64.2000
18-06-2025,64.2200
19-06-2025,63.5800
20-06-2025,63.6400
21-06-2025,63.6500
22-06-2025,63.6500
23-06-2025,63.8200
24-06-2025,64.5600
25-06-2025,64.1200
26-06-2025,64.8100
27-06-2025,65.4200
28-06-2025,65.4200
29-06-2025,65.4200
30-06-2025,65.2400
01-07-2025,65,0980
02-07-2025,65,1900
03-07-2025,65,3900
04-07-2025,64.6900
05-07-2025,64.7000
06-07-2025,64.7000
07-07-2025,65.0800
08-07-2025,65.6100
09-07-2025,66.0300
10-07-2025,66.3000
11-07-2025,65.8200
12-07-2025,65.8200
13-07-2025,65.8200
14-07-2025,65.8500
15-07-2025,65.7200
16-07-2025,65.7890
17-07-2025,66.0100
18-07-2025,65.9300
19-07-2025,65.9700
20-07-2025,65.9700
21-07-2025,66.0000
23-07-2025,66.8400
24-07-2025,66.4000
25-07-2025,66.4500
26-07-2025,66.4500
27-07-2025,66.4500
28-07-2025,66.2000
29-07-2025,66.1700
30-07-2025,65.7900
31-07-2025,65.7700
01-08-2025,64.6400
02-08-2025,64.6400
03-08-2025,64.6400
05-08-2025,65.2500
05-08-2025,65.4200
06-08-2025,65.2600
07-08-2025,65.8300
08-08-2025,66.0000
09-08-2025,66.0000
10-08-2025,66.0000
11-08-2025,65.7100
12-08-2025,65.9200
13-08-2025,65.8200
14-08-2025,66.0700
15-08-2025,65.7200
16-08-2025,65.7300
17-08-2025,65.7300
18-08-2025,65.7800
19-08-2025,66.0700
20-08-2025,66.1600
21-08-2025,66.1000
22-08-2025,66.9000
23-08-2025,66.9000
24-08-2025,66.9000
25-08-2025,66.6900
26-08-2025,66.2100
27-08-2025,65.9800
28-08-2025,65.9500
29-08-2025,65.5200
30-08-2025,65.5200
31-08-2025,65.5200
01-09-2025,65.7000
02-09-2025,64.3700
03-09-2025,64.2200
04-09-2025,64.9100
05-09-2025,64.9100
06-09-2025,64.9100
07-09-2025,64.9100
08-09-2025,65.3000
09-09-2025,65.4200
10-09-2025,65.1400
11-09-2025,65.5900
12-09-2025,65.5500
13-09-2025,65.5700
